INFO 2021-05-27 17:01:38,201 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:02:10,916 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:02:10,918 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:02:10,918 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:03:57,919 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:03:57,996 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:03:57,996 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:04:38,461 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:04:41,915 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:04:41,967 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:04:41,978 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:05:02,445 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 17:05:02,472 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:05:02,474 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:05:02,475 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:07:19,006 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 17:07:19,039 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:07:19,039 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:07:19,041 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:07:24,026 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:07:24,026 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:07:24,027 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:07:33,172 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 17:07:33,193 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:07:33,199 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:07:33,204 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:15:22,204 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:15:22,226 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:15:22,226 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:15:32,453 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 17:15:32,490 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:15:32,490 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:15:32,491 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:15:43,151 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:15:43,155 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:15:43,158 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:15:58,036 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 17:15:58,065 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:15:58,071 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:15:58,072 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
WARNING 2021-05-27 17:17:34,688 log 228 Bad Request: /users/login/
WARNING 2021-05-27 17:17:34,689 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
WARNING 2021-05-27 17:18:20,058 log 228 Bad Request: /users/login/
WARNING 2021-05-27 17:18:20,059 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
INFO 2021-05-27 17:18:27,326 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 17:18:27,369 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:18:27,372 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:18:27,385 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
WARNING 2021-05-27 17:18:52,802 log 228 Bad Request: /users/login/
WARNING 2021-05-27 17:18:52,803 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
INFO 2021-05-27 17:19:02,043 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-27 17:19:02,068 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 17:19:02,070 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:19:02,073 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
WARNING 2021-05-27 17:28:43,293 log 228 Bad Request: /users/login/
WARNING 2021-05-27 17:28:43,294 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
INFO 2021-05-27 17:28:48,033 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 17:28:48,036 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-27 17:28:48,036 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 20:30:35,810 autoreload 597 Watching for file changes with StatReloader
WARNING 2021-05-27 20:30:38,119 log 228 Not Found: /
WARNING 2021-05-27 20:30:38,120 basehttp 154 "GET / HTTP/1.1" 404 2372
WARNING 2021-05-27 20:30:38,315 log 228 Not Found: /favicon.ico
WARNING 2021-05-27 20:30:38,315 basehttp 154 "GET /favicon.ico HTTP/1.1" 404 2423
WARNING 2021-05-27 20:30:48,541 log 228 Not Found: /getcaptcha
WARNING 2021-05-27 20:30:48,542 basehttp 154 "GET /getcaptcha HTTP/1.1" 404 2420
INFO 2021-05-27 20:31:15,534 basehttp 154 "GET /users/getcaptcha HTTP/1.1" 301 0
ERROR 2021-05-27 20:31:15,690 log 228 Internal Server Error: /users/getcaptcha/
Traceback (most recent call last):
  File "E:\envs\luffy\lib\site-packages\django\core\handlers\exception.py", line 34, in inner
    response = get_response(request)
  File "E:\envs\luffy\lib\site-packages\django\core\handlers\base.py", line 115, in _get_response
    response = self.process_exception_by_middleware(e, request)
  File "E:\envs\luffy\lib\site-packages\django\core\handlers\base.py", line 113, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
TypeError: __init__() takes 1 positional argument but 2 were given
ERROR 2021-05-27 20:31:15,691 basehttp 154 "GET /users/getcaptcha/ HTTP/1.1" 500 69108
INFO 2021-05-27 20:34:45,737 autoreload 217 E:\luffy\luffyapi\luffyapi\apps\users\views.py changed, reloading.
INFO 2021-05-27 20:34:48,150 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-27 20:38:08,860 autoreload 597 Watching for file changes with StatReloader
WARNING 2021-05-27 20:38:10,965 log 228 Not Found: /
WARNING 2021-05-27 20:38:10,965 basehttp 154 "GET / HTTP/1.1" 404 2372
ERROR 2021-05-27 20:38:52,750 log 228 Internal Server Error: /users/getcaptcha/
Traceback (most recent call last):
  File "E:\envs\luffy\lib\site-packages\django\core\handlers\exception.py", line 34, in inner
    response = get_response(request)
  File "E:\envs\luffy\lib\site-packages\django\core\handlers\base.py", line 115, in _get_response
    response = self.process_exception_by_middleware(e, request)
  File "E:\envs\luffy\lib\site-packages\django\core\handlers\base.py", line 113, in _get_response
    response = wrapped_callback(request, *callback_args, **callback_kwargs)
TypeError: __init__() takes 1 positional argument but 2 were given
ERROR 2021-05-27 20:38:52,751 basehttp 154 "GET /users/getcaptcha/ HTTP/1.1" 500 69108
INFO 2021-05-27 20:48:42,010 autoreload 217 E:\luffy\luffyapi\luffyapi\apps\users\views.py changed, reloading.
INFO 2021-05-27 20:48:43,481 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-27 20:49:54,894 autoreload 217 E:\luffy\luffyapi\luffyapi\apps\users\views.py changed, reloading.
INFO 2021-05-27 20:49:56,595 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-27 20:50:39,832 autoreload 217 E:\luffy\luffyapi\luffyapi\apps\users\urls.py changed, reloading.
INFO 2021-05-27 20:50:41,355 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-27 20:57:22,561 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-27 20:57:42,695 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-27 20:57:42,763 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-27 20:57:42,763 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-28 08:06:32,696 autoreload 597 Watching for file changes with StatReloader
INFO 2021-05-28 08:06:53,815 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-28 08:06:53,864 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
INFO 2021-05-28 08:06:53,874 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-28 08:06:53,876 basehttp 154 "GET /media/banner/banner1.png HTTP/1.1" 304 0
INFO 2021-05-28 08:06:53,876 basehttp 154 "GET /media/banner/banner2.png HTTP/1.1" 304 0
INFO 2021-05-28 08:07:00,956 basehttp 154 "OPTIONS /users/login/ HTTP/1.1" 200 0
WARNING 2021-05-28 08:07:00,972 log 228 Bad Request: /users/login/
WARNING 2021-05-28 08:07:00,973 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
WARNING 2021-05-28 08:07:04,970 log 228 Bad Request: /users/login/
WARNING 2021-05-28 08:07:04,970 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
WARNING 2021-05-28 08:07:55,731 log 228 Bad Request: /users/login/
WARNING 2021-05-28 08:07:55,732 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
WARNING 2021-05-28 08:08:15,746 log 228 Bad Request: /users/login/
WARNING 2021-05-28 08:08:15,746 basehttp 154 "POST /users/login/ HTTP/1.1" 400 68
INFO 2021-05-28 08:08:28,365 basehttp 154 "POST /users/login/ HTTP/1.1" 200 197
INFO 2021-05-28 08:08:28,402 basehttp 154 "GET /home/banner/ HTTP/1.1" 200 291
INFO 2021-05-28 08:08:28,422 basehttp 154 "GET /home/btmnav/ HTTP/1.1" 200 192
INFO 2021-05-28 08:08:28,423 basehttp 154 "GET /home/nav/ HTTP/1.1" 200 430
